Title,imdbRating,imdbVotes,Metascore,Runtime,Year,Genre1,Genre2,Rated,Director,Actors1,Actors2,Country,Writer,Awards,Released,imdbID,Plot,Poster
Jack and the Beanstalk,6.1,2248,N/A,70,1952,Comedy,Family,NOT RATED,Jean Yarbrough,Bud Abbott,Lou Costello,USA,"Nathaniel Curtis (screenplay), Pat Costello (story)",N/A,12-Apr-52,tt0044762,"Abbott & Costello's version of the famous fairy tale, about a young boy who trades the family cow for magic beans.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTI1NjM0MzY1Nl5BMl5BanBnXkFtZTcwNTAzMzU1MQ@@._V1_SX300.jpg
Maniac,6.1,27652,47,89,2012,Horror,Thriller,NOT RATED,Franck Khalfoun,Nora Arnezeder,Brian Ames,France,"Alexandre Aja (screenplay), GrÌ©gory Levasseur (screenplay), Joe Spinell (original screenplay)",4 wins & 5 nominations.,2-Jan-13,tt2103217,"As he helps a young artist with her upcoming exhibition, the owner of a mannequin shop's deadly, suppressed desires come to the surface.",https://images-na.ssl-images-amazon.com/images/M/MV5BYzUyODkwNzUtNGQ0Yy00MGExLTg2NGItNjA4NTEyYjIxYWNhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Far and Away,6.5,47718,49,140,1992,Adventure,Drama,PG-13,Ron Howard,Tom Cruise,Nicole Kidman,USA,"Bob Dolman (story), Ron Howard (story), Bob Dolman (screenplay)",3 nominations.,22-May-92,tt0104231,"A young man leaves Ireland with his landlord's daughter after some trouble with her father, and they dream of owning land at the big give-away in Oklahoma ca. 1893. When they get to the new...",http://ia.media-imdb.com/images/M/MV5BMjE4MjUxMDk0NV5BMl5BanBnXkFtZTYwNTM4ODY5._V1_SX300.jpg
Silent Retreat,4.2,554,N/A,95,2013,Horror,Mystery,N/A,Tricia Lee,Chelsea Jenish,Sofia Banzhaf,Canada,"Corey Brown, Corey Brown (story), Tricia Lee (story)",1 win.,23-Jun-15,tt2672180,"Janey is sent to a silent meditation retreat, in the woods, for rehabilitation, only to realize that the men who run it are brainwashing women, and if she breaks the rules, she'll discover what lurks beyond the trees.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTY0MDM0MjAwNl5BMl5BanBnXkFtZTgwNjg0NTA4MDE@._V1_SX300.jpg
J. Edgar,6.6,103860,59,137,2011,Biography,Crime,R,Clint Eastwood,Leonardo DiCaprio,Josh Hamilton,USA,Dustin Lance Black,Nominated for 1 Golden Globe. Another 5 wins & 16 nominations.,11-Nov-11,tt1616195,"J. Edgar Hoover, powerful head of the F.B.I. for nearly 50 years, looks back on his professional and personal life.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTc0NDM4ODU2Nl5BMl5BanBnXkFtZTcwNzQ0NTg4Ng@@._V1_SX300.jpg
The American President,6.8,43239,67,114,1995,Comedy,Drama,PG-13,Rob Reiner,Michael Douglas,Annette Bening,USA,Aaron Sorkin,Nominated for 1 Oscar. Another 1 win & 9 nominations.,17-Nov-95,tt0112346,"Comedy-drama about a widowed U.S. president and a lobbyist who fall in love. It's all above-board, but ""politics is perception"" and sparks fly anyway.",http://ia.media-imdb.com/images/M/MV5BMTI5NDU2NDYzOF5BMl5BanBnXkFtZTYwNDk5MDI5._V1_SX300.jpg
Jack,5.7,47141,31,113,1996,Comedy,Drama,PG-13,Francis Ford Coppola,Robin Williams,Diane Lane,USA,"James DeMonaco, Gary Nadeau",6 nominations.,9-Aug-96,tt0116669,"Because of an unusual aging disorder that has aged him four times faster than a normal human being, a boy enters the fifth grade for the first time with the appearance of a 40 year old man.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTczMjIzOTY2M15BMl5BanBnXkFtZTcwMzM3NTYyMQ@@._V1_SX300.jpg
Darling,7.2,4269,N/A,128,1965,Drama,Romance,TV-MA,John Schlesinger,Julie Christie,Laurence Harvey,UK,"Frederic Raphael (screenplay), Frederic Raphael (idea), John Schlesinger (idea), Joseph Janni (idea)",Won 3 Oscars. Another 15 wins & 8 nominations.,3-Aug-65,tt0059084,A beautiful but amoral model sleeps her way to the top of the London fashion scene at the height of the Swinging Sixties.,http://ia.media-imdb.com/images/M/MV5BMTM5ODkwNDEyOV5BMl5BanBnXkFtZTcwNjQwMzQyMQ@@._V1_SX300.jpg
Pledge This!,1.9,15350,N/A,91,2006,Comedy,Comedy,R,William Heins,Paris Hilton,Paula GarcÌ©s,USA,"Cheryl Guerriero, Anna Obropta",1 nomination.,N/A,tt0417056,"At South Beach University, a beautiful sorority president takes in a group of unconventional freshman girls seeking acceptance into her house.",http://ia.media-imdb.com/images/M/MV5BMTQ0MDk0Mjc1MF5BMl5BanBnXkFtZTcwODMyOTYzMQ@@._V1_SX300.jpg
Wind Chill,5.9,17904,52,91,2007,Drama,Horror,R,Gregory Jacobs,Emily Blunt,Ashton Holmes,USA,"Joe Gangemi, Steven Katz",N/A,3-Aug-07,tt0486051,"Two college students share a ride home for the holidays, but when they break down on a deserted stretch of road, they are preyed upon by the ghosts of people who have died there.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTQxMzU3Nzk4MF5BMl5BanBnXkFtZTcwODA2NjU0MQ@@._V1_SX300.jpg
Viva Zapata!,7.5,7470,N/A,113,1952,Biography,Drama,N/A,Elia Kazan,Marlon Brando,Jean Peters,USA,John Steinbeck,Won 1 Oscar. Another 2 wins & 9 nominations.,22-Aug-52,tt0045296,"The story of Mexican revolutionary Emiliano Zapata, who led a rebellion against the corrupt, oppressive dictatorship of president Porfirio Diaz in the early 20th century.",https://images-na.ssl-images-amazon.com/images/M/MV5BZjU5ZDIwNDQtYWVhOC00ZmFmLWIyYmItMTQ1ZjljYzNhYmRlXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg
In the Blood,5.8,8899,40,108,2014,Action,Crime,R,John Stockwell,Gina Carano,Cam Gigandet,UK,"James Robert Johnston, Bennett Yellin",N/A,18-Apr-14,tt2101570,"When her husband goes missing during their Caribbean vacation, a woman sets off on her own to take down the men she thinks are responsible.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTA3OTQ0NDcxNjNeQTJeQWpwZ15BbWU4MDI2OTQ4MjEx._V1_SX300.jpg
Elektra Luxx,5.1,5973,50,100,2010,Comedy,Drama,R,Sebastian Gutierrez,Joseph Gordon-Levitt,Carla Gugino,USA,"Sebastian Gutierrez, Sebastian Gutierrez (characters)",1 nomination.,14-Mar-10,tt1340773,Life for porn actress Elektra Luxx gets turned upside down when she finds out she's pregnant.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTM0MDU1MjkyMF5BMl5BanBnXkFtZTcwNDQ5MDA1NA@@._V1_SX300.jpg
Only Angels Have Wings,7.7,9020,86,121,1939,Adventure,Drama,APPROVED,Howard Hawks,Cary Grant,Jean Arthur,USA,Jules Furthman (screen play),N/A,15-May-39,tt0031762,"At a remote South American trading port, the manager of an air freight company is forced to risk his pilots' lives in order to win an important contract.",https://images-na.ssl-images-amazon.com/images/M/MV5BMWNkYTRlYWEtNjhkZS00MGE3LWI1ZmQtMTA0NTViNzQ0OTM3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Lara Croft Tomb Raider: The Cradle of Life,5.5,103811,43,117,2003,Action,Adventure,PG-13,Jan de Bont,Angelina Jolie,Gerard Butler,USA,"Dean Georgaris (screenplay), Steven E. de Souza (story), James V. Hart (story)",1 win & 3 nominations.,25-Jul-03,tt0325703,Adventuress Lara Croft goes on a quest to save the mythical Pandora's Box before an evil scientist and recruits a former Marine turned mercenary to assist her.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTI0NzI3MTU5OF5BMl5BanBnXkFtZTYwODU2Nzk5._V1_SX300.jpg
Only Yesterday: The Carpenters' Story,7.4,16,N/A,N/A,2007,Documentary,Documentary,N/A,Samantha Peters,The Carpenters,Suzy Klein,UK,N/A,N/A,9-Apr-07,tt1014805,Documentary on the complex story of the 1970's duo The Carpenters.,N/A
Universal Soldier: Day of Reckoning,5,16371,58,114,2012,Action,Horror,R,John Hyams,Jean-Claude Van Damme,Dolph Lundgren,USA,"John Hyams (screenplay), Doug Magnuson (screenplay), Jon Greenhalgh (screenplay), John Hyams (story), Moshe Diamant (story), Richard Rothstein (based on characters created by), Christopher Leitch (based on characters created by)",N/A,25-Oct-12,tt1659343,"John looks to take down Luc Deveraux after a home invasion claims his wife and daughter. The fight pits John against Andrew Scott and an army of genetically enhanced warriors; meanwhile, he must contend with a UniSol in relentless pursuit.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTM3ODMxMDY0MF5BMl5BanBnXkFtZTcwNDc3MTY0OA@@._V1_SX300.jpg
Coraline,7.7,146785,80,100,2009,Animation,Family,PG,Henry Selick,Dakota Fanning,Teri Hatcher,USA,"Henry Selick (screenplay), Neil Gaiman (book)",Nominated for 1 Oscar. Another 7 wins & 41 nominations.,6-Feb-09,tt0327597,"An adventurous girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets.",https://images-na.ssl-images-amazon.com/images/M/MV5BMzQxNjM5NzkxNV5BMl5BanBnXkFtZTcwMzg5NDMwMg@@._V1_SX300.jpg
Jack and Diane,N/A,N/A,N/A,11,2008,Short,Drama,N/A,Brenton Covington,Patrick Adam,Kathleen Benner,USA,Brenton Covington,N/A,15-Mar-08,tt1311042,Two misled youth look to even the playing field when their friend is mistreated by a local physician.,N/A
Reverb,4.1,633,N/A,88,2008,Horror,Horror,N/A,Eitan Arrusi,Leo Gregory,Eva Birthistle,UK,Eitan Arrusi,N/A,6-Mar-09,tt0772197,A musician discovers a voice hidden in an old record -- one that sets into motion a series of horrific events.,http://ia.media-imdb.com/images/M/MV5BMTYwOTA0NDI3Ml5BMl5BanBnXkFtZTgwMTgwMTA2MDE@._V1_SX300.jpg
Now You Know,6.7,1487,N/A,102,2002,Comedy,Romance,R,Jeff Anderson,Jeff Anderson,Suzette Andrea,USA,Jeff Anderson,N/A,13-Dec-02,tt0286855,"On the eve of his bachelor party, a man learns his fiancee wants to call off the wedding. The unmarried couple returns to New Jersey to sort out their relationship.",http://ia.media-imdb.com/images/M/MV5BMjgyNTY3MDgwMV5BMl5BanBnXkFtZTYwMzU2NDg5._V1_SX300.jpg
The Sound of Fury,7.3,572,N/A,85,1950,Crime,Drama,APPROVED,Cy Endfield,Frank Lovejoy,Kathleen Ryan,USA,"Jo Pagano (written for the screen by), Jo Pagano (novel)",Nominated for 1 BAFTA Film Award. Another 1 nomination.,12-Dec-50,tt0043075,A man who is down on his luck falls in with a criminal.,https://images-na.ssl-images-amazon.com/images/M/MV5BNTE2OTY0MjI1M15BMl5BanBnXkFtZTgwNjE0NzgyMDE@._V1_SX300.jpg
Ghost Dog: The Way of the Samurai,7.5,70621,67,116,1999,Action,Crime,R,Jim Jarmusch,Forest Whitaker,John Tormey,France,Jim Jarmusch,1 win & 7 nominations.,24-Mar-00,tt0165798,An African American mafia hit man who models himself after the samurai of old finds himself targeted for death by the mob.,https://images-na.ssl-images-amazon.com/images/M/MV5BNDI0NTkzNDMxNV5BMl5BanBnXkFtZTYwODA1MDY5._V1_SX300.jpg
"Corrina, Corrina",6.5,10034,N/A,115,1994,Comedy,Drama,PG,Jessie Nelson,Noreen Hennessey,Lucy Webb,USA,Jessie Nelson,2 nominations.,26-Aug-94,tt0109484,"When Manny Singer's wife dies, his young daughter Molly becomes mute and withdrawn. To help cope with looking after Molly, he hires sassy housekeeper Corrina Washington, who coaxes Molly ...",http://ia.media-imdb.com/images/M/MV5BMTI2MTM0MjE1Nl5BMl5BanBnXkFtZTcwOTcwMzEyMQ@@._V1_SX300.jpg
In the Bedroom,7.5,32594,86,130,2001,Crime,Drama,R,Todd Field,Tom Wilkinson,Sissy Spacek,USA,"Robert Festinger (screenplay), Todd Field (screenplay), Andre Dubus (story ""Killings"")",Nominated for 5 Oscars. Another 38 wins & 69 nominations.,8-Feb-02,tt0247425,A New England couple's college-aged son dates an older woman who has two small children and an unwelcome ex-husband.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTIzMDc5ODM2MV5BMl5BanBnXkFtZTYwNDU2NTg4._V1_SX300.jpg
Quantum Apocalypse,3,1539,N/A,95,2010,Sci-Fi,Sci-Fi,UNRATED,Justin Jones,Rhett Giles,Stephany Jacobsen,USA,Leigh Scott (screenplay),N/A,24-Feb-10,tt1265621,"The comet crashed into Mars, not Earth.",http://ia.media-imdb.com/images/M/MV5BMTM3NzQ3NDQ3Ml5BMl5BanBnXkFtZTcwNjE2ODU2NA@@._V1_SX300.jpg
Playoff,5.4,221,N/A,107,2011,Drama,Sport,N/A,Eran Riklis,Danny Huston,Amira Casar,Germany,"David Akerman, Gidon Maron, Eran Riklis",1 win & 1 nomination.,24-Nov-11,tt1632722,"Playoff tells the story of legendary Israeli basketball coach Ralph Klein. He became a national hero, when he made Maccabi Tel Aviv into European Champions in the late Seventies, one of ...",https://images-na.ssl-images-amazon.com/images/M/MV5BZmU1Yzk1YzctMDdjZC00ZDE5LWI4YTUtNmM1MmM1NTMxMjc5XkEyXkFqcGdeQXVyMjA2MTA5NDU@._V1_SX300.jpg
White Irish Drinkers,6.9,1570,51,109,2010,Drama,Drama,R,John Gray,Nick Thurston,Geoffrey Wigdor,USA,John Gray,2 wins & 3 nominations.,25-Mar-11,tt1550524,"Brooklyn, 1975: two brothers looking for a way out of their working-class neighborhood make a pact to rob a local theater on the night of a Rolling Stones concert.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjIyODA3NDUzOV5BMl5BanBnXkFtZTcwOTgzNDA2NA@@._V1_SX300.jpg
Larry Gaye: Renegade Male Flight Attendant,4.5,685,N/A,99,2015,Comedy,Comedy,R,Sam Friedlander,Mark Feuerstein,Jessica Lowndes,USA,"Mike Sikowitz, Mike Sikowitz",N/A,5-Jun-15,tt2547172,A self-anointed 'renegade' male flight attendant must save the day when the airline he works for tries to eliminate flight attendants as a cost-cutting measure.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg4NDg1OTE4MF5BMl5BanBnXkFtZTgwMzU5NzA3NTE@._V1_SX300.jpg
Pleasantville,7.5,104266,71,124,1998,Comedy,Drama,PG-13,Gary Ross,Tobey Maguire,Reese Witherspoon,USA,Gary Ross,Nominated for 3 Oscars. Another 17 wins & 41 nominations.,23-Oct-98,tt0120789,Two 1990s teenage siblings find themselves in a 1950s sitcom where their influence begins to profoundly change that complacent world.,https://images-na.ssl-images-amazon.com/images/M/MV5BYTRlYzk4NDktODE3Ni00YjFkLWFjYmUtNjg1MzdmYmFmOTJkXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg
Insidious,6.8,206755,52,103,2010,Fantasy,Horror,PG-13,James Wan,Patrick Wilson,Rose Byrne,USA,Leigh Whannell,8 wins & 14 nominations.,1-Apr-11,tt1591095,A family looks to prevent evil spirits from trapping their comatose child in a realm called The Further.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYyOTAxMDA0OF5BMl5BanBnXkFtZTcwNzgwNTc1NA@@._V1_SX300.jpg
Only the Brave,5.5,644,N/A,99,2006,Drama,War,R,Lane Nishikawa,Tamlyn Tomita,Lane Nishikawa,USA,Lane Nishikawa,N/A,17-Feb-06,tt0410403,"A searing portrait of war and prejudice, 'Only the Brave' takes you on a haunting journey into the hearts and minds of the forgotten heroes of WWII - the Japanese-American 100th/442nd. In ...",https://images-na.ssl-images-amazon.com/images/M/MV5BMTkyNDk0NzEwOV5BMl5BanBnXkFtZTcwODAwMjc3Mg@@._V1_SX300.jpg
Hot Tub Time Machine 2,5.1,28799,29,93,2015,Comedy,Sci-Fi,R,Steve Pink,Rob Corddry,Craig Robinson,USA,"Josh Heald, Josh Heald (characters)",2 nominations.,20-Feb-15,tt2637294,"When Lou finds himself in trouble, Nick and Jacob fire up the hot tub time machine in an attempt to get back to the past. But they inadvertently land in the future with Adam Jr. Now they ...",https://images-na.ssl-images-amazon.com/images/M/MV5BMTU3NzQzMzE0NV5BMl5BanBnXkFtZTgwMDM4MTI0NDE@._V1_SX300.jpg
Zabriskie Point,7.1,10834,N/A,110,1970,Drama,Drama,R,Michelangelo Antonioni,Mark Frechette,Daria Halprin,USA,"Michelangelo Antonioni (story), Michelangelo Antonioni (screenplay), Franco Rossetti (screenplay), Sam Shepard (screenplay), Tonino Guerra (screenplay), Clare Peploe (screenplay)",1 win & 1 nomination.,26-Mar-70,tt0066601,"An epic portrait of late Sixties America, as seen through the portrayal of two of its children: anthropology student Daria (who's helping a property developer build a village in the Los ...",http://ia.media-imdb.com/images/M/MV5BMTQ4NDc1ODY5OV5BMl5BanBnXkFtZTYwNTY3Mzk5._V1_SX300.jpg
White Squall,6.6,18032,53,129,1996,Adventure,Drama,PG-13,Ridley Scott,Jeff Bridges,Caroline Goodall,USA,"Charles Gieg Jr. (book), Felix Sutton (book), Todd Robinson",1 nomination.,2-Feb-96,tt0118158,Teenage boys discover discipline and camaraderie on an ill-fated sailing voyage.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTI5NjIzMTI5OV5BMl5BanBnXkFtZTcwMjY0MzAyMQ@@._V1_SX300.jpg
Underbelly Files: Infiltration,6.8,159,N/A,N/A,2011,Crime,Drama,N/A,Grant Brown,Sullivan Stapleton,Valentino del Toro,Australia,"Colin McLaren (based on the book by), Graeme Koetsveld",N/A,14-Feb-11,tt1741678,Two Victorian police officers go undercover to bring down the Australian branch of the Calabrian mafia. A true story.,https://images-na.ssl-images-amazon.com/images/M/MV5BMmQ4Y2FiNmMtMjNjZS00MzYwLWEzZjUtOTRhM2VjYzY2MDk4XkEyXkFqcGdeQXVyMzUxMzE5NzU@._V1_SX300.jpg
Bruce Almighty,6.7,301455,46,101,2003,Comedy,Drama,PG-13,Tom Shadyac,Jim Carrey,Morgan Freeman,USA,"Steve Koren (story), Mark O'Keefe (story), Steve Koren (screenplay), Mark O'Keefe (screenplay), Steve Oedekerk (screenplay)",7 wins & 8 nominations.,23-May-03,tt0315327,A guy who complains about God too often is given almighty powers to teach him how difficult it is to run the world.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYwMTUyNzAxMF5BMl5BanBnXkFtZTYwMDYwOTY3._V1_SX300.jpg
Vikings: The Viking Sagas,N/A,N/A,N/A,N/A,2014,Short,Short,N/A,N/A,N/A,N/A,USA,N/A,N/A,7-Oct-14,tt4620502,N/A,N/A
American Pastime,6.7,580,N/A,105,2007,Drama,Romance,N/A,Desmond Nakano,Aaron Yoo,Olesya Rulin,USA,"Desmond Nakano (screenplay), Tony Kayden (screenplay), Desmond Nakano (story)",1 win.,14-May-07,tt0825225,The dramatic impact W.W.II had in the home-front as U.S. Japanese families were uprooted from their daily lives and placed in internment camps in western States in the early 1940s.,http://ia.media-imdb.com/images/M/MV5BMTQzMTUyMDcxOV5BMl5BanBnXkFtZTcwMzYyNzc0MQ@@._V1_SX300.jpg
Quarantine 2: Terminal,5.3,14900,N/A,86,2011,Horror,Mystery,R,John Pogue,Mercedes Mason,Josh Cooke,USA,"John Pogue (screenplay), John Erick Dowdle (motion picture ""Quarantine""), Drew Dowdle (motion picture ""Quarantine""), Jaume BalaguerÌ_ (motion picture ""Rec""), Luiso Berdejo (motion picture ""Rec""), Paco Plaza (motion picture ""Rec"")",1 nomination.,17-Jun-11,tt1699231,A plane is taken over by a mysterious virus. When the plane lands it is placed under quarantine. Now a group of survivors must band together to survive the quarantine.,http://ia.media-imdb.com/images/M/MV5BMjE2MDMxODUxM15BMl5BanBnXkFtZTcwMDk4Mjk0Ng@@._V1_SX300.jpg
The American Side,5.8,1946,65,90,2016,Drama,Mystery,N/A,Jenna Ricker,Greg Stuhr,Alicja Bachleda,USA,"Greg Stuhr, Jenna Ricker",N/A,14-Apr-16,tt3093286,"Following a mysterious suicide at Niagara Falls, a low-rent detective unravels a conspiracy to build a revolutionary invention by enigmatic scientist, Nikola Tesla.",https://images-na.ssl-images-amazon.com/images/M/MV5BOWQwZTA4OTctYTMwNy00ZDYxLTljZjYtN2U2NTQyYzU3ZDIzXkEyXkFqcGdeQXVyMjYwOTk0OTM@._V1_SX300.jpg
Jack and Jill,3.4,60964,23,91,2011,Comedy,Comedy,PG,Dennis Dugan,Adam Sandler,Al Pacino,USA,"Steve Koren (screenplay), Adam Sandler (screenplay), Ben Zook (story)",13 wins & 5 nominations.,11-Nov-11,tt0810913,"Family guy Jack Sadelstein prepares for the annual event he dreads: the Thanksgiving visit of his twin sister, the needy and passive-aggressive Jill, who then refuses to leave.",https://images-na.ssl-images-amazon.com/images/M/MV5BNjczMTU5OTUyMl5BMl5BanBnXkFtZTcwODEzNjc3Ng@@._V1_SX300.jpg
White Noise 2: The Light,5.7,11320,N/A,99,2007,Drama,Fantasy,PG-13,Patrick Lussier,Nathan Fillion,Katee Sackhoff,USA,Matt Venne,5 nominations.,5-Jan-07,tt0496436,"Following the loss of his family, a man attempts suicide only to discover upon waking that he can identify people who are about to die",http://ia.media-imdb.com/images/M/MV5BMTY5Nzk1MDAzMl5BMl5BanBnXkFtZTcwMjY3NzU0MQ@@._V1_SX300.jpg
Angel Heart,7.3,63716,N/A,113,1987,Horror,Mystery,R,Alan Parker,Mickey Rourke,Robert De Niro,UK,"William Hjortsberg (novel), Alan Parker (screenplay)",2 wins & 3 nominations.,6-Mar-87,tt0092563,Harry Angel is a private investigator. He is hired by a man who calls himself Louis Cyphre to track down a singer called Johnny Favorite. But the investigation takes an unexpected and somber turn.,https://images-na.ssl-images-amazon.com/images/M/MV5BNzIwODgxNjMzOF5BMl5BanBnXkFtZTcwMzc2MzUyMQ@@._V1_SX300.jpg
Lights Out,6.7,23947,58,81,2016,Horror,Thriller,PG-13,David F. Sandberg,Teresa Palmer,Gabriel Bateman,USA,"Eric Heisserer (screenplay), David F. Sandberg (based on the short film by)",N/A,22-Jul-16,tt4786282,"When her little brother, Martin, experiences the same events that once tested her sanity, Rebecca works to unlock the truth behind the terror, which brings her face to face with an entity that has an attachment to their mother, Sophie.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTg1OTkxNDgyMV5BMl5BanBnXkFtZTgwMjEzNTc0ODE@._V1_SX300.jpg
Snow Angels,6.9,10977,67,107,2007,Drama,Romance,R,David Gordon Green,Kate Beckinsale,Sam Rockwell,USA,"David Gordon Green (screenplay), Stewart O'Nan (novel)",1 win & 4 nominations.,11-Sep-08,tt0453548,"A drama that interweaves the life of a teenager, with his old baby sitter, her estranged husband, and their daughter.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTY2MDMwNjgzNF5BMl5BanBnXkFtZTcwNzE1OTc1MQ@@._V1_SX300.jpg
Signs,6.7,273481,59,106,2002,Drama,Mystery,PG-13,M. Night Shyamalan,Mel Gibson,Joaquin Phoenix,USA,M. Night Shyamalan,3 wins & 30 nominations.,2-Aug-02,tt0286106,A family living on a farm finds mysterious crop circles in their fields which suggests something more frightening to come.,https://images-na.ssl-images-amazon.com/images/M/MV5BNDUwMDUyMDAyNF5BMl5BanBnXkFtZTYwMDQ3NzM3._V1_SX300.jpg
Nostradamus,5.8,2337,N/A,119,1994,Biography,Drama,R,Roger Christian,TchÌ©ky Karyo,F. Murray Abraham,France,"Piers Ashworth (story), Roger Christian (story), Knut Boeser (screenplay)",N/A,16-Sep-94,tt0110689,"Recounts the life and loves of the physician, astrologer, and famed prognosticator; his encounters with medieval science and the Inquisition; and his early struggles with his visions of the...",https://images-na.ssl-images-amazon.com/images/M/MV5BMzQ0NzI3MzgxNV5BMl5BanBnXkFtZTYwMTk5ODk4._V1_SX300.jpg
Gigli,2.4,41876,18,121,2003,Comedy,Crime,R,Martin Brest,Ben Affleck,Terry Camilleri,USA,Martin Brest,11 wins & 9 nominations.,1-Aug-03,tt0299930,"The violent story about how a criminal lesbian, a tough-guy hit-man with a heart of gold, and a mentally challenged man came to be best friends through a hostage.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTE5MTYxMDg5NV5BMl5BanBnXkFtZTYwNjc5MzQ3._V1_SX300.jpg
Snatch,8.3,611594,55,102,2000,Comedy,Crime,R,Guy Ritchie,Benicio Del Toro,Dennis Farina,UK,Guy Ritchie,4 wins & 6 nominations.,19-Jan-01,tt0208092,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers, and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTA2NDYxOGYtYjU1Mi00Y2QzLTgxMTQtMWI1MGI0ZGQ5MmU4XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg
Elektra,4.8,71777,34,97,2005,Action,Crime,PG-13,Rob Bowman,Jennifer Garner,Goran Visnjic,Canada,"Mark Steven Johnson (motion picture characters), Frank Miller (comic book characters), Zak Penn, Stu Zicherman, Raven Metzner",2 nominations.,14-Jan-05,tt0357277,"Elektra the warrior survives a near-death experience, becomes an assassin-for-hire, and tries to protect her two latest targets, a single father and his young daughter, from a group of supernatural assassins.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTk2MzEwNjEwNV5BMl5BanBnXkFtZTcwODczMDIzMw@@._V1_SX300.jpg
Anesthesia,6.1,2001,55,90,2015,Drama,Thriller,R,Tim Blake Nelson,Sam Waterston,Ivan Goris,USA,Tim Blake Nelson,N/A,8-Jan-16,tt3317208,Multiple lives intersect in the aftermath of the violent mugging of a Columbia University philosophy professor.,https://images-na.ssl-images-amazon.com/images/M/MV5BNDUyMjgxNzQ4NV5BMl5BanBnXkFtZTgwNzkzMDA1NzE@._V1_SX300.jpg
Brown Sugar,6.5,6001,58,109,2002,Romance,Comedy,PG-13,Rick Famuyiwa,Taye Diggs,Sanaa Lathan,USA,"Michael Elliot (story), Michael Elliot (screenplay), Rick Famuyiwa (screenplay)",2 wins & 18 nominations.,11-Oct-02,tt0297037,"Friends since childhood, a magazine editor and a hip-hop record executive stumble into romantic territory.",http://ia.media-imdb.com/images/M/MV5BNDU4ODk1NzM0Ml5BMl5BanBnXkFtZTYwOTcxMDg5._V1_SX300.jpg
Revenge of the Pink Panther,6.7,15963,N/A,99,1978,Comedy,Crime,PG,Blake Edwards,Peter Sellers,Herbert Lom,UK,"Frank Waldman (screenplay), Ron Clark (screenplay), Blake Edwards (screenplay), Blake Edwards (story)",1 win & 1 nomination.,19-Jul-78,tt0078163,"To prove that he still is strong and powerful, Philippe Douvier decides to kill Clouseau. Once news of his ""death"" has been announced, Clouseau tries to take advantage of it and goes undercover with Cato to find out who tried to kill him.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTkxODExMzMwMV5BMl5BanBnXkFtZTcwMjU1MTMyNA@@._V1_SX300.jpg
Quick Change,6.8,16108,56,89,1990,Comedy,Crime,R,Howard Franklin,Bill Murray,Dale Grand,USA,"Jay Cronley (book), Howard Franklin (screenplay)",N/A,13-Jul-90,tt0100449,"Three thieves successfully rob a New York City bank, but making the escape from the city proves to be almost impossible.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjE1NjAyODgyMV5BMl5BanBnXkFtZTYwOTM1MzQ5._V1_SX300.jpg
Corpse Bride,7.4,192019,83,77,2005,Animation,Drama,PG,Tim Burton,Johnny Depp,Helena Bonham Carter,USA,"Tim Burton (characters), Carlos Grangel (characters), John August (screenplay), Caroline Thompson (screenplay), Pamela Pettler (screenplay)",Nominated for 1 Oscar. Another 9 wins & 26 nominations.,23-Sep-05,tt0121164,"When a shy groom practices his wedding vows in the inadvertent presence of a deceased young woman, she rises from the grave assuming he has married her.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTk1MTY1NjU4MF5BMl5BanBnXkFtZTcwNjIzMTEzMw@@._V1_SX300.jpg
