,Dutifulness,Cooperation,Self-consciousness,Orderliness,Achievement striving,Self-efficacy,Activity level,Self-discipline,Excitement-seeking,Cautiousness,Morality,Anxiety,Emotionality,Vulnerability,Immoderation,Sympathy,Friendliness,Modesty,Altruism,Assertiveness,Adventurousness,Gregariousness,Intellect,Imagination,Artistic interests,Depression,Anger,Trust,Cheerfulness,Liberalism,Rated,Language,Country,Director,Year,Genre,Runtime,imdbVotes,Actors1,Actors2,Words,DiversityW,Verb/Noun,Zipf,WordL,imdbRating
Hot Tub Time Machine,0.201362824,0.38218115,0.047062079,0.720846718,0.160303241,0.233490322,0.12344733,0.577494562,0.521595153,0.323652188,0.672977839,0.071285937,0.357238887,0.113373463,0.623596272,0.348394885,0.904996146,0.82000939,0.439047394,0.699476131,0.752456757,0.97237527,0.641671441,0.106158304,0.348378913,0.205715206,0.230927618,0.109257079,0.84040092,0.189630693,R,"English, Russian",USA,Steve Pink,2010,"Comedy, Sci-Fi",101,139979,John Cusack, Clark Duke,12790,0.163799844,1.295486601,0.851216333,,6.4
Zift,0.153998383,0.190477241,0.509995876,0.567843431,0.251872518,0.510232234,0.140782524,0.082547103,0.517040475,0.359813273,0.364712267,0.430042626,0.73922175,0.327690568,0.666574384,0.972779013,0.271665736,0.427709727,0.767410727,0.639434769,0.406872448,0.10666037,0.98491688,0.942233864,0.819865038,0.792469666,0.66615856,0.206707967,0.092672826,0.747662812,N/A,Bulgarian,Bulgaria,Javor Gardev,2008,"Crime, Drama, Mystery",92,4006,Zachary Baharov, Tanya Ilieva,5687,0.337612098,1.586238532,0.908839828,,7.4
Angel of Death,0.300963419,0.360541079,0.115065794,0.581482481,0.194187236,0.316618117,0.11927045,0.531154795,0.362779497,0.352730139,0.842644564,0.111819189,0.415878423,0.1730725,0.565578709,0.481323413,0.69477816,0.912401647,0.523802491,0.745201359,0.556311847,0.813166396,0.672443631,0.087309774,0.212339166,0.417422205,0.371841716,0.02500585,0.645740557,0.062041952,R,English,USA,Paul Etheredge,2009,"Action, Crime, Thriller",77,1826,ZoÕ‰ Bell, Jake Abel,5427,0.211350654,1.170866142,0.854855618,,5
Righteous Kill,0.161640488,0.220135284,0.199091632,0.713880407,0.243590837,0.251359646,0.124295691,0.413519725,0.359739507,0.192097056,0.757182189,0.114681809,0.362323848,0.188054249,0.516298994,0.527686219,0.546699578,0.795536051,0.346015732,0.662241281,0.598873961,0.602714263,0.881219948,0.291869496,0.319747122,0.508445584,0.61888626,0.027949575,0.390273797,0.219232335,R,"English, Spanish, Russian",USA,Jon Avnet,2008,"Action, Crime, Drama",101,73968,Robert De Niro, Al Pacino,10953,0.187528531,1.284081633,0.884077531,,6
Jatts in Golmaal,0.511604746,0.349772704,0.023275244,0.675596124,0.513444478,0.505108077,0.484093934,0.82759179,0.214824491,0.426608842,0.966579918,0.033445076,0.48969957,0.073105045,0.164491632,0.73989137,0.880740991,0.956314361,0.854463127,0.926072228,0.616954178,0.750336924,0.563370581,0.039289729,0.078034027,0.239598211,0.331155417,0.055840149,0.773777276,0.000777779,N/A,Panjabi,India,Ksshitij Chaudhary,2013,Comedy,129,296,Arya Babbar, Binnu Dhillon,16260,0.127367774,1.075457508,0.907022252,,6.2
Qissa: The Tale of a Lonely Ghost,0.390966557,0.365894924,0.02836213,0.763876266,0.470761177,0.53421038,0.572354052,0.79540171,0.574535443,0.271576376,0.95243364,0.120503934,0.710611191,0.157240289,0.288240682,0.803228053,0.921438668,0.967227652,0.857884827,0.901495288,0.77718581,0.888064249,0.696742509,0.329992628,0.490092812,0.356611465,0.290928548,0.073310703,0.882595838,0.00175789,N/A,Panjabi,"Germany, India, Netherlands, France",Anup Singh,2013,"Drama, Fantasy",109,498,Irrfan Khan, Tisca Chopra,3095,0.231017771,1.097855228,0.889167844,,6.7
Inside the Walls of Folsom Prison,0.476431033,0.473915221,0.059287074,0.765669714,0.528418662,0.462717853,0.291161202,0.728153561,0.139479797,0.796993125,0.951246007,0.014577206,0.375274679,0.026553862,0.424276666,0.745806298,0.752331756,0.834296718,0.570294371,0.828925979,0.618237119,0.582715133,0.891374323,0.099712444,0.177867291,0.225837003,0.146223648,0.153995088,0.407397546,0.131469883,APPROVED,English,USA,Crane Wilbur,1951,"Crime, Drama",87,150,Steve Cochran, David Brian,7696,0.211928274,1.316074654,0.920635358,,6.7
Willie Dynamite,0.265206858,0.460181513,0.025711781,0.944863057,0.413478747,0.458765132,0.200249882,0.823388784,0.263740542,0.737373324,0.975586059,0.008144011,0.576833121,0.019151399,0.352021561,0.781030754,0.870801303,0.625718159,0.655899588,0.856396507,0.936406351,0.688107419,0.898755515,0.261992706,0.677785117,0.088256931,0.169822898,0.040234947,0.810585937,0.171249461,R,English,USA,Gilbert Moses,1974,"Crime, Drama",102,631,Roscoe Orman, Diana Sands,6237,0.245149912,1.443942814,0.899704802,,6.3
Wildflower,0.00355442,0.016757149,0.984792606,9.62E-07,0.037017854,0.161526534,0.153524026,0.003885808,0.991090879,0.059000035,0.097780938,0.999928571,0.963442799,0.996886296,0.998366704,0.902729174,0.091638748,0.62284184,0.889235063,0.028526597,0.144223278,0.176022394,0.705632617,0.995813803,0.794815539,0.992202159,0.998241935,0.128789897,0.075691266,0.980436733,PG-13,English,USA,Diane Keaton,1991,"Drama, Romance",120,948,Beau Bridges, Susan Blakely,285,0.403508772,30.44444444,0.857285779,,7.3
Echelon Conspiracy,0.581381998,0.587476906,0.05758087,0.694171648,0.511695848,0.572905751,0.363505976,0.807906394,0.123127214,0.814966864,0.937660613,0.020562824,0.29330019,0.051602481,0.136640582,0.495541429,0.761622466,0.738856523,0.551653766,0.80471217,0.67469908,0.539918406,0.812482208,0.040194105,0.153610898,0.166972735,0.201486726,0.222815224,0.572668323,0.09562707,PG-13,"English, Russian",USA,Greg Marcks,2009,"Action, Crime, Mystery",105,17152,Shane West, Edward Burns,5959,0.262292331,1.405178979,0.882509537,,5.8
Flatliners,0.551032164,0.589139367,0.271470669,0.499370345,0.327991592,0.430318597,0.216934183,0.449327314,0.384604164,0.527133177,0.917019966,0.226395791,0.784632668,0.289724905,0.394318489,0.897196542,0.617889235,0.96962865,0.879033682,0.673476308,0.556222111,0.562861697,0.814182454,0.342579647,0.506056471,0.575988031,0.264097753,0.149441431,0.559412324,0.192081944,R,English,USA,Joel Schumacher,1990,"Drama, Horror, Sci-Fi",115,62461,Kiefer Sutherland, Julia Roberts,6605,0.235427706,1.259383378,0.897239508,,6.5
Open Range,0.189993042,0.337961832,0.168970556,0.822964993,0.392662608,0.606123134,0.225117798,0.402110625,0.406318362,0.403554174,0.86121403,0.101147124,0.435470543,0.091922624,0.395961403,0.804453857,0.606943428,0.590086846,0.587680031,0.77909754,0.5523877,0.549338138,0.649127683,0.495111795,0.437269886,0.405083444,0.49050298,0.078015475,0.562549051,0.07232614,R,English,USA,Kevin Costner,2003,"Drama, Romance, Western",139,54384,Robert Duvall, Kevin Costner,8495,0.259446733,1.227485685,0.883533767,,7.5
Hotel Noir,0.406042064,0.529231043,0.247752454,0.406980522,0.208590519,0.239356743,0.121704345,0.251779943,0.32429709,0.429708581,0.870054859,0.199999005,0.758693022,0.292246635,0.677742998,0.875822802,0.497440404,0.8019026,0.863934869,0.685564684,0.500828688,0.516064019,0.906860504,0.301802229,0.578388532,0.443032323,0.270072915,0.089551549,0.441266194,0.357584142,N/A,English,USA,Sebastian Gutierrez,2012,"Crime, Drama, Romance",97,793,Malin Akerman, Patrick Arthur,8900,0.218089888,1.117290192,0.883648274,,5.9
Willow,0.198642704,0.384938856,0.164366609,0.830475688,0.385711824,0.485046669,0.22769356,0.516242617,0.570687589,0.293066907,0.943634668,0.182833451,0.766912694,0.280908834,0.360453461,0.914506616,0.629846182,0.915372282,0.796096714,0.603985622,0.843300323,0.517987107,0.809329262,0.766464616,0.873075693,0.443129756,0.529207541,0.077983271,0.705590422,0.09097536,PG,English,"USA, New Zealand, UK",Ron Howard,1988,"Action, Adventure, Drama",126,81767,Val Kilmer, Joanne Whalley,6186,0.227934045,1.710737179,0.891450066,,7.3
16 Blocks,0.311995024,0.395394993,0.010283463,0.884505904,0.44110615,0.50687266,0.338379898,0.852581895,0.452192576,0.49851998,0.899930897,0.011505193,0.302228668,0.020416393,0.306388133,0.422599007,0.96128898,0.769010667,0.500453212,0.845938588,0.78160182,0.972991265,0.596063523,0.084463933,0.217521906,0.102262384,0.187800636,0.117773356,0.923833287,0.022838343,PG-13,English,"Germany, USA",Richard Donner,2006,"Action, Crime, Drama",102,113324,Bruce Willis, Yasiin Bey,8499,0.164842923,1.34375,0.859358328,,6.6
Brute Force,0.470389113,0.523035268,0.105976298,0.711840144,0.445136522,0.509733983,0.290801356,0.609968402,0.25075085,0.667366444,0.933744514,0.054408939,0.577178831,0.084873683,0.311728768,0.817880739,0.737463872,0.846498972,0.7231319,0.818763114,0.577297416,0.627957013,0.812580312,0.19295494,0.298272487,0.29607245,0.191718372,0.135293125,0.588107382,0.099344761,NOT RATED,English,USA,Jules Dassin,1947,"Crime, Drama, Film-Noir",98,6459,Burt Lancaster, Hume Cronyn,8230,0.212879708,1.352704258,0.910283304,,7.7
Private School,0.615997751,0.844063842,0.040534395,0.714698429,0.554977146,0.34538381,0.419573651,0.824426622,0.234101036,0.810651097,0.980873123,0.070285396,0.828423493,0.145925962,0.462382041,0.877313975,0.916454849,0.918985384,0.856397397,0.721113524,0.793897304,0.889421544,0.752963868,0.06779016,0.60303851,0.127782485,0.155399189,0.336004737,0.873106445,0.196595359,R,English,USA,Noel Black,1983,"Comedy, Romance",89,4301,Phoebe Cates, Betsy Russell,6267,0.223711505,1.393241167,0.885471046,,5.2
Viktor,0.375895238,0.286832124,0.034867035,0.260369496,0.389482214,0.443297086,0.487466175,0.483373088,0.389783898,0.087451664,0.859332026,0.192945487,0.860164002,0.27005886,0.404160854,0.942350103,0.894189413,0.874587562,0.946187038,0.907614818,0.579916225,0.740436128,0.753634878,0.188539807,0.213821339,0.49869757,0.613411648,0.113651355,0.791538368,0.019147676,N/A,"English, Russian","France, Russia",Philippe Martinez,2014,"Action, Drama, Thriller",134,310,GÕ©rard Depardieu, Elizabeth Hurley,3529,0.254746387,1.268447837,0.907899048,,3.7
Universal Soldier,0.271903953,0.406014325,0.057244242,0.866714053,0.399714747,0.458200023,0.306571405,0.806374958,0.303780627,0.630006765,0.914081065,0.031563824,0.245532133,0.060557729,0.248057221,0.390455166,0.806448122,0.84918755,0.286794644,0.734637422,0.815982769,0.73154561,0.719186422,0.12453969,0.254713652,0.268277542,0.307218801,0.096552724,0.63788732,0.057601865,R,English,USA,Roland Emmerich,1992,"Action, Sci-Fi, Thriller",102,69500,Jean-Claude Van Damme, Dolph Lundgren,5892,0.244738629,1.491593275,0.864521169,,6
Prisoners,0.428110126,0.485458265,0.038367885,0.637340951,0.337290342,0.270600698,0.287234904,0.697442851,0.217708638,0.571398587,0.950474434,0.062580456,0.627625152,0.118347761,0.389309066,0.811479297,0.851630631,0.951049701,0.778014049,0.794937411,0.613303584,0.85670767,0.576469772,0.042845082,0.233876072,0.25981639,0.250874471,0.048542635,0.749451325,0.020512929,R,English,USA,Denis Villeneuve,2013,"Crime, Drama, Mystery",153,392734,Hugh Jackman, Jake Gyllenhaal,8861,0.174359553,1.189965904,0.88066282,,8.1
Buck,0.501667637,0.649808787,0.351365509,0.375782221,0.32116746,0.166669972,0.139250316,0.265604498,0.189917733,0.646290758,0.918273518,0.137520385,0.684185199,0.252145174,0.838459428,0.936179596,0.293164108,0.905075073,0.851393815,0.63114501,0.379908626,0.269668971,0.947042408,0.332312111,0.520645354,0.571863987,0.143038548,0.167864469,0.320206087,0.483962974,PG,English,USA,Cindy Meehl,2011,Documentary,88,2748,Buck Brannaman, Gary Myers,11839,0.164371991,1.00382995,0.858255769,,7.6
Zindagi Na Milegi Dobara,0.46110749,0.694142211,0.125375744,0.617193362,0.3091145,0.239825464,0.368292447,0.599510046,0.313692197,0.339458578,0.925137445,0.184349399,0.784799914,0.394564225,0.268728373,0.859416276,0.810909112,0.948492563,0.837319951,0.650937464,0.728539473,0.749200916,0.655213683,0.158161053,0.557217417,0.401050643,0.463845123,0.199719103,0.754767508,0.128039174,N/A,"Hindi, Japanese, Spanish, English",India,Zoya Akhtar,2011,"Adventure, Comedy, Drama",155,44519,Katrina Kaif, Hrithik Roshan,10174,0.184096717,1.382798574,0.901352636,,8.1
The Stanford Prison Experiment,0.406682349,0.578236207,0.123507045,0.61953666,0.455475529,0.332554981,0.274110432,0.670042134,0.191630901,0.740585627,0.948237597,0.043272541,0.418267709,0.09301077,0.379374516,0.671158668,0.653436289,0.894025036,0.592068362,0.787988309,0.762904556,0.555581916,0.919748328,0.074514868,0.341247838,0.277769889,0.142382823,0.12638756,0.497240634,0.23733257,R,English,USA,Kyle Patrick Alvarez,2015,"Biography, Drama, History",122,17206,Billy Crudup, Michael Angarano,11389,0.158574063,1.163383546,0.874910496,,6.9
Rio 2,0.514217633,0.86074211,0.037368166,0.894099845,0.382659786,0.176632023,0.295227292,0.824967482,0.234253592,0.803389496,0.975030766,0.01774254,0.49933177,0.07375865,0.372449683,0.738888334,0.868317348,0.960721241,0.721483353,0.530571874,0.951946495,0.864838734,0.789371533,0.214186622,0.796449954,0.138817973,0.023064958,0.355002565,0.863185588,0.241868879,G,"English, Portuguese",USA,Carlos Saldanha,2014,"Animation, Adventure, Comedy",101,59428,Jake T. Austin, Carlinhos Brown,7911,0.217418784,1.464991023,0.858160732,,6.4
Silenced,0.788592642,0.689745476,0.632991576,0.118652156,0.705672287,0.376385715,0.311758234,0.361774219,0.01562,0.937392687,0.874114717,0.294423335,0.655309378,0.315541459,0.546249992,0.994349758,0.110847803,0.59761382,0.760137681,0.681291576,0.292423638,0.004348086,0.998651476,0.270175243,0.66493108,0.695194887,0.283792734,0.361273125,0.046663392,0.958000882,N/A,Korean,South Korea,Dong-hyuk Hwang,2011,Drama,125,4187,Yoo Gong, Yu-mi Jeong,12377,0.182677547,1.034822371,0.90798915,,8
The Spiral Staircase,0.646920117,0.627657774,0.155888804,0.513328522,0.44556544,0.442111549,0.255871369,0.59511857,0.248910925,0.569533502,0.977986464,0.172851221,0.845408091,0.238812091,0.397207228,0.947618224,0.705045885,0.976845565,0.928043176,0.776953824,0.459774162,0.612322566,0.71556474,0.123882488,0.323054163,0.389673367,0.283548397,0.082535759,0.704229486,0.032698656,APPROVED,English,USA,Robert Siodmak,1945,"Horror, Mystery, Thriller",83,6731,Dorothy McGuire, George Brent,5517,0.203008882,1.117600631,0.912097227,,7.6
Ghayal Once Again,0.383872152,0.290568587,0.078441409,0.627748182,0.577342726,0.695445527,0.604443369,0.687971035,0.291731053,0.428427999,0.898748418,0.160536567,0.63243343,0.11010445,0.083185925,0.954363092,0.852448039,0.871105837,0.871941603,0.920455598,0.671183676,0.574284314,0.722294588,0.267685854,0.280051149,0.404376968,0.540955586,0.115464413,0.610522982,0.017827763,N/A,Hindi,India,Sunny Deol,2016,"Action, Drama",127,3945,Sunny Deol, Rishabh Arora,10725,0.170536131,1.299615385,0.859109019,,6.8
16 Years of Alcohol,0.46603951,0.512100079,0.065903957,0.599142822,0.278229165,0.361247293,0.2782347,0.483312717,0.585007682,0.329693393,0.89489414,0.128085687,0.848387652,0.151371718,0.532643296,0.921769689,0.841556425,0.913804744,0.908279362,0.745961448,0.757334975,0.921339543,0.908057529,0.49345053,0.671108035,0.372332935,0.162801032,0.19286443,0.788458222,0.259501297,R,English,UK,Richard Jobson,2003,"Crime, Drama",102,1481,Kevin McKidd, Laura Fraser,6291,0.228580512,1.220545977,0.918856319,,6.3
Lighthouse,0.416960909,0.626105635,0.096141605,0.758705492,0.383294599,0.355541908,0.281534966,0.701878361,0.231055257,0.768896325,0.955413276,0.040916448,0.529412361,0.073766008,0.362484523,0.73126862,0.755318451,0.935925026,0.59437941,0.632339098,0.782182479,0.71751569,0.79728339,0.093758234,0.358201165,0.284322754,0.183528432,0.208031126,0.555905472,0.166042583,R,English,UK,Simon Hunter,1999,"Horror, Thriller",95,1023,James Purefoy, Rachel Shelley,2733,0.309915843,1.496389892,0.834944825,,4.9
Eddie,0.306374862,0.309446761,0.012736327,0.923725474,0.444734034,0.487281401,0.391540999,0.884395733,0.440922821,0.708093125,0.738333931,0.011688365,0.1608604,0.016340676,0.444420423,0.13053453,0.948672827,0.353207341,0.188955382,0.845715474,0.834439115,0.977366363,0.478949649,0.099182573,0.140488292,0.040660222,0.197476069,0.329860664,0.944404313,0.14510259,PG-13,"English, Russian",USA,Steve Rash,1996,"Comedy, Sport",100,7124,Whoopi Goldberg, Frank Langella,12681,0.160634019,1.984854859,0.90526155,,5.1
Lili,0.482368786,0.812608003,0.179296758,0.651908263,0.360839176,0.218043254,0.259173315,0.46858579,0.301187802,0.627696264,0.980357582,0.16200705,0.873096423,0.273788289,0.432282661,0.933965691,0.583542334,0.962223267,0.92726059,0.592143284,0.728863401,0.511177748,0.782053306,0.339828194,0.798244666,0.330331856,0.256781572,0.230829703,0.752322949,0.207938241,PASSED,English,USA,Charles Walters,1953,"Drama, Musical, Romance",81,2427,Leslie Caron, Mel Ferrer,5983,0.227812134,1.388756928,0.905732019,,7.5
Jay and Silent Bob Strike Back,0.04271406,0.129270501,0.156631696,0.755039086,0.193957648,0.268062769,0.139650768,0.283903826,0.507654085,0.195264588,0.434972518,0.12183833,0.300973501,0.108620212,0.745813835,0.635526495,0.660557928,0.421616029,0.323860538,0.738439413,0.84546387,0.816680742,0.970641628,0.709569604,0.787322204,0.500538339,0.400733932,0.05757868,0.385963127,0.800566977,R,English,USA,Kevin Smith,2001,Comedy,104,129223,Jason Mewes, Kevin Smith,10319,0.213683496,1.430178069,0.922605498,,6.9
Meet the Feebles,0.204451718,0.426940494,0.248660738,0.54175399,0.238960484,0.305715601,0.150792462,0.257846687,0.533170572,0.312996418,0.804264636,0.209120771,0.647660242,0.287331051,0.686124855,0.863496654,0.610166809,0.846944197,0.676864421,0.559893882,0.635942896,0.700725517,0.880172064,0.662052955,0.611954066,0.579835424,0.520100172,0.183386819,0.527283609,0.460156922,R,English,New Zealand,Peter Jackson,1989,"Comedy, Music, Musical",97,15986,Danny Mulheron, Donna Akersten,6913,0.259655721,1.520336606,0.904435487,,6.7
Unlucky Stars,0.358208602,0.559256408,0.059306836,0.622858066,0.283815737,0.19389935,0.247671899,0.667659161,0.253736118,0.570601762,0.901778668,0.034504563,0.346282258,0.088020378,0.396471523,0.453402828,0.830296402,0.921756077,0.51633707,0.727951192,0.756549008,0.904301422,0.566955275,0.037245129,0.122011324,0.243000698,0.155365957,0.137926395,0.791156474,0.057007711,N/A,English,USA,Dennis Ruel,2015,"Action, Adventure, Comedy",100,47,Dennis Ruel, Ken Quitugua,8160,0.177083333,1.154177898,0.86665323,,6.4
The Spirit of '45,0.605464309,0.57783677,0.212263514,0.288226478,0.671630941,0.708399815,0.725707082,0.409527414,0.115632077,0.885598559,0.662968373,0.085486725,0.310823234,0.055306591,0.348721435,0.99782503,0.618407743,0.326186739,0.864266943,0.936282935,0.673177299,0.30885133,0.997095857,0.37186345,0.693170021,0.512359287,0.054756579,0.718754711,0.109019106,0.939845049,N/A,English,UK,Ken Loach,2013,"Documentary, History",94,816,Winston Churchill, Tony Benn,11941,0.206599112,1.208383234,0.914870044,,7.1
Fleurs de sang,0.457482419,0.697068612,0.136772067,0.615245997,0.324959695,0.292649421,0.269506546,0.57777018,0.327614873,0.58153296,0.971303935,0.135335285,0.830261074,0.256977656,0.367555729,0.865193496,0.651201549,0.961135379,0.866655548,0.751462358,0.750887716,0.586662987,0.812675663,0.229246272,0.614465639,0.376394945,0.18713991,0.108450006,0.67747845,0.125858402,N/A,French,"Spain, France, Switzerland","Myriam MÕ©ziÕŒres, Alain Tanner",2002,N/A,100,44,Myriam MÕ©ziÕŒres, Bruno Todeschini,3716,0.298439182,1.208685163,0.914939652,,5
Hot Bot,0.535391103,0.749039064,0.061983087,0.739426164,0.54987841,0.419336873,0.411295695,0.845454075,0.157523048,0.827262194,0.980838216,0.029469314,0.43728681,0.076828886,0.255843742,0.794966658,0.750514365,0.91711072,0.753053902,0.823081592,0.925844302,0.501692682,0.950396621,0.067307032,0.643612501,0.136069838,0.064659712,0.14757889,0.570355432,0.231056183,N/A,English,USA,Michael Polish,2016,"Comedy, Sci-Fi",86,1183,Zack Pearlman, Doug Haley,8111,0.230181235,1.21134594,0.907015345,,3.4
"Silent Night, Deadly Night 5: The Toy Maker",0.504963789,0.633867195,0.099744572,0.641742161,0.327319529,0.174150613,0.166878303,0.648590608,0.282566571,0.502591362,0.963473795,0.08755372,0.607111319,0.193537799,0.342791959,0.648430874,0.72769404,0.993841851,0.790527549,0.645334167,0.6168552,0.750738207,0.49120533,0.063674378,0.212080093,0.38540336,0.231716715,0.049129744,0.816260388,0.007946797,R,English,USA,Martin Kitrosser,1991,"Horror, Sci-Fi",90,908,William Thorne, Jane Higginson,3598,0.224291273,1.10295858,0.897549275,,4.2
Not Fade Away,0.333754397,0.345581656,0.074308731,0.511768018,0.338908433,0.465297879,0.365742143,0.497784448,0.461745964,0.440777691,0.543671041,0.1606754,0.516268667,0.129644226,0.726086929,0.756697943,0.908617849,0.537359946,0.671910083,0.828308941,0.613023414,0.910117552,0.87889209,0.304348116,0.472434881,0.376744669,0.337996799,0.295055873,0.606392433,0.419165495,R,English,USA,David Chase,2012,Drama,112,3698,John Magaro, Jack Huston,7481,0.26747761,1.405456853,0.897424823,,6
Eat Pray Love,0.621605997,0.788709486,0.13276439,0.549243052,0.492816993,0.391058057,0.479147406,0.66748245,0.366148672,0.462487579,0.969063077,0.204994437,0.919704615,0.393283849,0.435711694,0.965483111,0.853843329,0.957847865,0.965322096,0.741568826,0.710254797,0.713698975,0.853950823,0.253901905,0.779853689,0.372489867,0.244259882,0.300687397,0.822915333,0.236948671,PG-13,"English, Italian, Portuguese",USA,Ryan Murphy,2010,"Drama, Romance",133,64385,Julia Roberts, I. Gusti Ayu Puspawati,11254,0.198773769,1.200487013,0.88420983,,5.7
Not Cool,0.333224537,0.657714668,0.124974657,0.546929508,0.179484714,0.155536323,0.106951578,0.527874391,0.419868376,0.48498474,0.730668512,0.214670047,0.48671165,0.348204278,0.648606056,0.554557185,0.799257984,0.907194591,0.604016293,0.561207536,0.650223267,0.909493005,0.633267893,0.076872612,0.555819357,0.308413295,0.221098082,0.149967112,0.774211658,0.396412835,NOT RATED,English,USA,Shane Dawson,2014,Comedy,93,4210,Shane Dawson, Cherami Leigh,10169,0.196872849,1.28513146,0.868537879,,5.1
Northanger Abbey,0.808417135,0.869194763,0.218510765,0.386004933,0.552620238,0.287642893,0.279559636,0.611022301,0.089129246,0.855698874,0.976523637,0.277777505,0.934861669,0.295618848,0.285865617,0.997887551,0.588383619,0.973908613,0.981760315,0.626945594,0.144587558,0.220294079,0.965255513,0.235849311,0.759742903,0.374622609,0.235725793,0.198259884,0.562847628,0.185395377,N/A,English,"UK, USA, Ireland",Jon Jones,2007,"Drama, Romance",84,10094,Geraldine James, Michael Judd,8894,0.192376883,1.091397849,0.879889689,,7.3
Hot Fuzz,0.433299736,0.573518408,0.114387746,0.512061065,0.438968586,0.366964418,0.256989853,0.455997508,0.210376274,0.592516712,0.834906052,0.112812486,0.572883714,0.095767404,0.564173228,0.953374269,0.786190825,0.745258033,0.735211879,0.654322998,0.58737515,0.623469584,0.96271354,0.273037499,0.442483114,0.401810967,0.366142116,0.26397073,0.389594121,0.477952884,R,English,"UK, France, USA",Edgar Wright,2007,"Action, Comedy, Mystery",121,356772,Simon Pegg, Martin Freeman,10780,0.226159555,1.562017265,0.909294678,,7.9
Bubble Boy,0.322924904,0.647458721,0.029835355,0.865959593,0.291981553,0.229608833,0.215919771,0.690452474,0.428152343,0.512363083,0.906142034,0.033930002,0.484559569,0.081696428,0.576227824,0.722989275,0.924311084,0.872545536,0.610673138,0.539829653,0.915890357,0.916564651,0.706095251,0.231972833,0.725540624,0.188244575,0.140987459,0.204457122,0.881332917,0.270570755,PG-13,English,USA,Blair Hayes,2001,"Adventure, Comedy, Romance",84,25756,Jake Gyllenhaal, Swoosie Kurtz,6653,0.215842477,1.607566766,0.88525848,,5.6
Quarantine 2: Terminal,0.324224841,0.532212045,0.028107764,0.928481991,0.479828421,0.461049147,0.414949157,0.904837537,0.31928456,0.773012119,0.970389225,0.01334698,0.247340687,0.033916035,0.216539487,0.296538537,0.875734076,0.905954714,0.303287186,0.741996409,0.910964845,0.869290961,0.551640271,0.078731039,0.234612507,0.133050328,0.168927011,0.112582072,0.796317981,0.035784892,R,English,USA,John Pogue,2011,"Horror, Mystery, Sci-Fi",86,14900,Mercedes Mason, Josh Cooke,6615,0.206953893,1.521989906,0.838477628,,5.3
Angel Face,0.728921644,0.804940982,0.115209776,0.595349612,0.480606034,0.41397398,0.190247435,0.663788283,0.101192423,0.838985245,0.982639026,0.062318137,0.664779504,0.121078961,0.36652848,0.93653361,0.657101137,0.923127918,0.858877763,0.726353343,0.417334643,0.405173665,0.905191651,0.062433812,0.365990111,0.240594203,0.12554586,0.1563613,0.499592854,0.153351607,NOT RATED,"English, Japanese",USA,Otto Preminger,1953,"Crime, Drama, Film-Noir",91,4922,Robert Mitchum, Jean Simmons,9757,0.187045198,1.12522604,0.918671547,,7.3
Only God Forgives,0.281015394,0.269148767,0.078577904,0.452619388,0.305309165,0.216726685,0.173806109,0.482624535,0.248328499,0.212689715,0.921350356,0.092888408,0.687604495,0.161597338,0.373134957,0.8351675,0.734589026,0.974706789,0.900619182,0.886413987,0.639099438,0.750712847,0.735302549,0.064609603,0.139653867,0.471206995,0.485822757,0.00986085,0.71264338,0.007389626,R,"English, Thai","Denmark, France, USA, Sweden",Nicolas Winding Refn,2013,"Crime, Drama",90,84076,Ryan Gosling, Kristin Scott Thomas,1470,0.334013605,0.92,0.878645185,,5.7
View from the Top,0.673920264,0.846167385,0.028561072,0.713818815,0.662121823,0.566964651,0.64048618,0.906248849,0.271900246,0.810819462,0.96919327,0.061861456,0.732377658,0.126250489,0.350562763,0.883268511,0.964394162,0.886042324,0.855634976,0.768459187,0.855238763,0.892270834,0.744422336,0.093296203,0.652435468,0.126825134,0.16422476,0.441587038,0.915261151,0.203128008,PG-13,English,USA,Bruno Barreto,2003,"Comedy, Romance",87,21317,Gwyneth Paltrow, Christina Applegate,8111,0.228578474,1.54491018,0.880868307,,5.2
Unicorn City,0.339087226,0.616499414,0.129139837,0.746487772,0.387557166,0.339101576,0.307142241,0.635517203,0.355728332,0.639603302,0.907009409,0.047899052,0.413681075,0.150279113,0.33143122,0.82587421,0.744186294,0.87094598,0.62966408,0.599602554,0.934698217,0.679323069,0.929250987,0.357324383,0.733046537,0.293181401,0.121612054,0.284049667,0.673685228,0.341236174,PG,English,USA,Bryan Lefler,2012,"Comedy, Romance",103,1093,Jon Gries, Matt Mattson,7548,0.257419184,1.432106599,0.892569203,,5.7
Cosmopolis,0.410377813,0.517160907,0.244245662,0.514013042,0.440567732,0.624541234,0.467590595,0.355881456,0.412561239,0.604610926,0.763989303,0.122435985,0.71615199,0.126875338,0.394646116,0.935812878,0.567738674,0.411596794,0.866722251,0.872386625,0.885329851,0.417584799,0.995550963,0.617601607,0.811300028,0.383335766,0.119462998,0.357285396,0.237290896,0.789296757,R,English,"Canada, France, Portugal, Italy",David Cronenberg,2012,Drama,109,38052,Robert Pattinson, Sarah Gadon,8771,0.255615095,1.221063608,0.8831373,,5
